"Asset-ID";"Gerätename";"Name";"DisplayName";"Version";"Hersteller";"Quelle";"Pakettyp";"PaketId";"InstallDatum";"Installationsort";"Architektur";"BenutzerKontext";"Publisher";"InstallDate";"InstallLocation";"Source";"Sources";"Scope";"Architecture";"UserSID";"PackageType";"DetectionConfidence";"RawSourceKey";"RawPath";"RawNames";"RawEntryCount";"ScanStatus";"ScanMode";"UpdateStatus";"UpdateAvailable";"InstalledVersion";"LatestVersion";"UpdateSource";"UpdateRaw";"UpdateCheckedAt"
"AS-0004";"GOLDENZOPF";"1527c705-839a-4832-9118-54d4Bd6a0c89";"1527c705-839a-4832-9118-54d4Bd6a0c89";"10.0.19640.1000";"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US";"AppxAllUsers, AppxCurrentUser";"Appx/MSIX";"1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy";"";"C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy";"Neutral";"User";"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US";"";"C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy";"AppxCurrentUser";"AppxAllUsers, AppxCurrentUser";"User";"Neutral";"";"Appx/MSIX";"High";"1527c705-839a-4832-9118-54d4Bd6a0c89_cw5n1h2txyewy";"C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy";"1527c705-839a-4832-9118-54d4Bd6a0c89";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"10.0.19640.1000";"";"";"";""
"AS-0004";"GOLDENZOPF";"19568ShareX.ShareX";"ShareX";"20.1.0.0";"CN=366A5DE5-2EC7-43FD-B559-05986578C4CC";"AppxAllUsers, AppxCurrentUser, Winget";"Appx/MSIX, Winget";"19568ShareX.ShareX_20.1.0.0_x64__egrzcvs15399j";"";"C:\Program Files\WindowsApps\19568ShareX.ShareX_20.1.0.0_x64__egrzcvs15399j";"X64";"User";"CN=366A5DE5-2EC7-43FD-B559-05986578C4CC";"";"C:\Program Files\WindowsApps\19568ShareX.ShareX_20.1.0.0_x64__egrzcvs15399j";"AppxCurrentUser";"AppxAllUsers, AppxCurrentUser, Winget";"User";"X64";"";"Appx/MSIX, Winget";"High";"19568ShareX.ShareX_egrzcvs15399j";"C:\Program Files\WindowsApps\19568ShareX.ShareX_20.1.0.0_x64__egrzcvs15399j";"19568ShareX.ShareX | ShareX";"3";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"20.1.0.0";"";"";"";""
"AS-0004";"GOLDENZOPF";"5319275A.WhatsAppDesktop";"WhatsApp";"2.2616.100.0";"CN=24803D75-212C-471A-BC57-9EF86AB91435";"AppxAllUsers, AppxCurrentUser, Winget";"Appx/MSIX, Winget";"5319275A.WhatsAppDesktop_2.2616.100.0_x64__cv1g1gvanyjgm";"";"C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2616.100.0_x64__cv1g1gvanyjgm";"X64";"User";"CN=24803D75-212C-471A-BC57-9EF86AB91435";"";"C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2616.100.0_x64__cv1g1gvanyjgm";"AppxCurrentUser";"AppxAllUsers, AppxCurrentUser, Winget";"User";"X64";"";"Appx/MSIX, Winget";"High";"5319275A.WhatsAppDesktop_cv1g1gvanyjgm";"C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2616.100.0_x64__cv1g1gvanyjgm";"5319275A.WhatsAppDesktop | WhatsApp";"3";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"2.2616.100.0";"";"";"";""
"AS-0004";"GOLDENZOPF";"7zFM";"7zFM";"";"";"PortableScan";"Portable";"";"";"C:\Program Files\7-Zip";"Unknown";"Portable";"";"";"C:\Program Files\7-Zip";"PortableScan";"PortableScan";"Portable";"Unknown";"";"Portable";"Low";"";"C:\Program Files\7-Zip\7zFM.exe";"7zFM";"1";"OK_LIMITED";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"7-Zip 26.01 (x64)";"7-Zip 26.01 (x64)";"26.01";"Igor Pavlov";"RegistryHKLM64, Winget";"Registry, Winget";"7-Zip";"";"C:\Program Files\7-Zip\";"x64";"Machine";"Igor Pavlov";"";"C:\Program Files\7-Zip\";"RegistryHKLM64";"RegistryHKLM64, Winget";"Machine";"x64";"";"Registry, Winget";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip";"C:\Program Files\7-Zip\";"7-Zip 26.01 (x64)";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"26.01";"";"";"";""
"AS-0004";"GOLDENZOPF";"Acrobat Notification Client";"Acrobat Notification Client";"1.0.4.0";"";"Winget";"Winget";"";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Acrobat Notification Client";"1";"OK";"ADMIN";"NotChecked";"False";"1.0.4.0";"";"";"";""
"AS-0004";"GOLDENZOPF";"AcrobatNotificationClient";"AcrobatNotificationClient";"1.0.4.0";"CN=Adobe Systems Incorporated, OU=Adobe Systems, O=Adobe Systems Incorporated, L=San Jose, S=California, C=US, PostalCode=95110, STREET=345 Park Avenue, SERIALNUMBER=2748129, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US, OID.2.5.4.15=Private Organization";"AppxAllUsers, AppxCurrentUser";"Appx/MSIX";"AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r";"";"C:\Program Files\WindowsApps\AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r";"X86";"User";"CN=Adobe Systems Incorporated, OU=Adobe Systems, O=Adobe Systems Incorporated, L=San Jose, S=California, C=US, PostalCode=95110, STREET=345 Park Avenue, SERIALNUMBER=2748129, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US, OID.2.5.4.15=Private Organization";"";"C:\Program Files\WindowsApps\AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r";"AppxCurrentUser";"AppxAllUsers, AppxCurrentUser";"User";"X86";"";"Appx/MSIX";"High";"AcrobatNotificationClient_e1rzdqpraam7r";"C:\Program Files\WindowsApps\AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r";"AcrobatNotificationClient";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"1.0.4.0";"";"";"";""
"AS-0004";"GOLDENZOPF";"ActiveX-Installer (AxInstSV)";"ActiveX-Installer (AxInstSV)";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup";"ActiveX-Installer (AxInstSV)";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Adobe Acrobat";"Adobe Acrobat";"26.1.0.0";"";"Winget";"Winget";"";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Adobe Acrobat";"1";"OK";"ADMIN";"NotChecked";"False";"26.1.0.0";"";"";"";""
"AS-0004";"GOLDENZOPF";"Adobe Acrobat (64-bit)";"Adobe Acrobat (64-bit)";"26.001.21529";"Adobe";"RegistryHKLM64, Winget";"Registry, Winget";"{AC76BA86-1033-FFFF-7760-BC15014EA700}";"20260502";"C:\Program Files\Adobe\Acrobat DC\";"x64";"Machine";"Adobe";"20260502";"C:\Program Files\Adobe\Acrobat DC\";"RegistryHKLM64";"RegistryHKLM64, Winget";"Machine";"x64";"";"Registry, Winget";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-1033-FFFF-7760-BC15014EA700}";"C:\Program Files\Adobe\Acrobat DC\";"Adobe Acrobat (64-bit)";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"26.001.21529";"";"";"";""
"AS-0004";"GOLDENZOPF";"Adobe Acrobat Update Service";"Adobe Acrobat Update Service";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""";"Adobe Acrobat Update Service";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Adobe Creative Cloud";"Adobe Creative Cloud";"6.9.1.1";"Adobe Inc.";"RegistryHKLM32, Winget";"Registry, Winget";"Adobe Creative Cloud";"";"";"x86";"Machine";"Adobe Inc.";"";"";"RegistryHKLM32";"RegistryHKLM32, Winget";"Machine";"x86";"";"Registry, Winget";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Adobe Creative Cloud";"";"Adobe Creative Cloud";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"6.9.1.1";"";"";"";""
"AS-0004";"GOLDENZOPF";"Adobe Notification Client";"Adobe Notification Client";"6.0.0.1";"";"Winget";"Winget";"";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Adobe Notification Client";"1";"OK";"ADMIN";"NotChecked";"False";"6.0.0.1";"";"";"";""
